# 动作卡库  格式: 类别|动作
# 类别: stretch 拉伸 / core 核心 / legs 腿 / cardio 有氧 / lazy 懒人 / eyes 护眼
# 随便加、删、改行即可;会随机抽一张显示在提醒里。以 # 开头的行被忽略。
stretch|颈椎米字操:用头慢慢写"米"字 ×2
stretch|双手交叉上举,身体左右侧伸 各15秒
stretch|站立体前屈,够脚尖 保持20秒
stretch|扩胸后展,打开肩胛 ×10
stretch|靠墙天使:贴墙上下滑动手臂 ×10
core|靠墙静蹲 45秒
core|平板支撑 30秒
core|站姿收腹提膝 左右各12次
legs|徒手深蹲 ×15
legs|原地高抬腿 30秒
legs|提踵(踮脚尖) ×20
legs|箭步蹲 左右各10次
cardio|开合跳 30秒
cardio|原地小跑 45秒
cardio|波比跳 ×8
lazy|起身接杯水,顺便走一圈
lazy|站起来,远眺窗外 30秒
lazy|扭扭脖子转转肩,随便动动
eyes|看20英尺(6米)外 20秒(20-20-20法则)
eyes|闭眼、掌心捂眼 20秒,放松眼周
