# 文案人格库  格式: 人格|文案
# 人格: 励志 / 搞笑 / 毒舌   ({move} 会被替换成随机抽到的动作卡)
# config 里 PERSONA=random 时每次随机挑一个人格;也可固定为某一个,或设 off 用 MESSAGE。
励志|起身!你的身体会感谢现在的你 🔥 今天:{move}
励志|每一次起立都是对久坐的小胜利 💪 来:{move}
励志|3 分钟投资,换一下午的清醒。开始:{move}
励志|你离更好的状态,只差站起来这一下 ✨ {move}
励志|别让椅子偷走你的健康。现在就:{move}
搞笑|你的椅子说它想单独待会儿 🪑 去:{move}
搞笑|久坐 buff 已叠满,该解除了 🧙 {move}
搞笑|屁股:已阵亡。腿:待命。任务:{move}
搞笑|摸鱼也得有个好身体嘛,先:{move}
搞笑|系统检测到"人肉焊接椅子",建议:{move}
毒舌|又焊在椅子上了?起来:{move}
毒舌|久坐使人……变宽。立刻:{move}
毒舌|你的腰刚发来一条差评 📟 去:{move}
毒舌|再不动,健身卡就白办了。现在:{move}
毒舌|坐这么久,是打算生根发芽吗?{move}
